description;wnid
entity;n00001740
physical entity;n00001930
abstraction;n00002137
abstract entity;n00002137
thing;n00002452
object;n00002684
physical object;n00002684
whole;n00003553
unit;n00003553
congener;n00003993
living thing;n00004258
animate thing;n00004258
organism;n00004475
being;n00004475
benthos;n00005787
dwarf;n00005930
heterotroph;n00006024
parent;n00006150
life;n00006269
biont;n00006400
cell;n00006484
causal agent;n00007347
cause;n00007347
causal agency;n00007347
person;n00007846
individual;n00007846
someone;n00007846
somebody;n00007846
mortal;n00007846
soul;n00007846
animal;n00015388
animate being;n00015388
beast;n00015388
brute;n00015388
creature;n00015388
fauna;n00015388
plant;n00017222
flora;n00017222
plant life;n00017222
native;n00019046
natural object;n00019128
substance;n00019613
substance;n00020090
matter;n00020827
food;n00021265
nutrient;n00021265
nutrient;n00021734
artifact;n00021939
artefact;n00021939
article;n00022903
psychological feature;n00023100
cognition;n00023271
knowledge;n00023271
noesis;n00023271
motivation;n00023773
motive;n00023773
need;n00023773
attribute;n00024264
state;n00024720
feeling;n00026192
location;n00027167
shape;n00027807
form;n00027807
time;n00028270
space;n00028651
infinite;n00028651
absolute space;n00029007
phase space;n00029114
event;n00029378
process;n00029677
physical process;n00029677
act;n00030358
deed;n00030358
human action;n00030358
human activity;n00030358
group;n00031264
grouping;n00031264
relation;n00031921
possession;n00032613
social relation;n00032823
communication;n00033020
measure;n00033615
quantity;n00033615
amount;n00033615
phenomenon;n00034213
thing;n00034479
kindness;n00034574
benignity;n00034574
abdominoplasty;n00034777
tummy tuck;n00034777
abort;n00034939
accomplishment;n00035189
achievement;n00035189
agon;n00035697
alienation;n00035891
application;n00036061
beachhead;n00036299
foothold;n00036299
cakewalk;n00036580
feat;n00036762
effort;n00036762
exploit;n00036762
masterpiece;n00037006
masterstroke;n00037090
credit;n00037200
action;n00037396
res gestae;n00038175
course;n00038262
course of action;n00038262
blind alley;n00038573
collision course;n00038863
interaction;n00039021
interplay;n00039211
contact;n00039297
brush;n00039545
eye contact;n00039740
fetch;n00039916
placement;n00039990
interchange;n00040152
reciprocation;n00040152
give-and-take;n00040152
reciprocity;n00040420
cross-fertilization;n00040545
cross-fertilisation;n00040545
dealings;n00040804
traffic;n00040804
relation;n00040962
playing;n00041188
play;n00041468
swordplay;n00041468
boondoggle;n00041614
bowling;n00041740
acquiring;n00041899
getting;n00041899
causing;n00042311
causation;n00042311
delivery;n00042541
obstetrical delivery;n00042541
departure;n00042757
going;n00042757
going away;n00042757
leaving;n00042757
derring-do;n00043116
discovery;n00043195
find;n00043195
uncovering;n00043195
disposal;n00043609
disposition;n00043609
hit;n00043902
implementation;n00044150
effectuation;n00044150
egress;n00044455
egression;n00044455
emergence;n00044455
equalization;n00044673
equalisation;n00044673
leveling;n00044673
exhumation;n00044900
disinterment;n00044900
digging up;n00044900
mitzvah;n00045114
mitsvah;n00045114
propulsion;n00045250
actuation;n00045250
rally;n00045646
rallying;n00045646
recovery;n00045907
retrieval;n00045907
running away;n00046177
stunt;n00046344
touch;n00046522
touching;n00046522
tour de force;n00047018
performance;n00047106
overachievement;n00047356
underachievement;n00047550
record;n00047745
track record;n00047745
fait accompli;n00047941
accomplished fact;n00047941
going;n00048051
sledding;n00048051
arrival;n00048225
reaching;n00048225
arrival;n00048374
attainment;n00048656
advent;n00048828
coming;n00048828
entrance;n00049003
entering;n00049003
entry;n00049003
ingress;n00049003
incoming;n00049003
incursion;n00049344
intrusion;n00049530
irruption;n00049636
entree;n00049789
entail;n00049909
registration;n00050037
enrollment;n00050037
enrolment;n00050037
appearance;n00050195
apparition;n00050484
emergence;n00050693
emersion;n00050693
reappearance;n00050887
return;n00050887
comeback;n00051077
return;n00051192
homecoming;n00051192
repatriation;n00051385
penetration;n00051525
interpenetration;n00051712
permeation;n00051712
market penetration;n00051897
anchorage;n00052052
docking;n00052146
moorage;n00052146
dockage;n00052146
tying up;n00052146
landing;n00052334
landing;n00052500
forced landing;n00052791
emergency landing;n00052791
breaking away;n00053020
farewell;n00053097
leave;n00053097
leave-taking;n00053097
parting;n00053097
french leave;n00053405
valediction;n00053525
disappearance;n00053609
disappearing;n00053609
vanishing;n00053806
withdrawal;n00053913
effacement;n00054328
self-effacement;n00054328
retreat;n00054483
retirement;n00054652
retreat;n00054652
evacuation;n00054821
medical evacuation;n00055038
medevac;n00055038
medivac;n00055038
decampment;n00055227
desertion;n00055315
abandonment;n00055315
defection;n00055315
abscondment;n00055633
decampment;n00055633
absence without leave;n00055793
unauthorized absence;n00055793
deviationism;n00055932
emigration;n00056087
out-migration;n00056087
expatriation;n00056087
immigration;n00056311
in-migration;n00056311
aliyah;n00056551
pullback;n00056688
retreat;n00056912
standdown;n00057162
stand-down;n00057162
disengagement;n00057306
fallback;n00057306
pullout;n00057306
receding;n00057486
recession;n00057486
sailing;n00057657
amphibious landing;n00057748
debarkation;n00058002
disembarkation;n00058002
disembarkment;n00058002
going ashore;n00058247
boarding;n00058337
embarkation;n00058337
embarkment;n00058337
exit;n00058519
elopement;n00058608
escape;n00058743
flight;n00058743
evasion;n00059127
slip;n00059376
elusion;n00059376
eluding;n00059376
maneuver;n00059552
manoeuvre;n00059552
evasive action;n00059552
clinch;n00059728
dodge;n00059895
break;n00059989
breakout;n00059989
jailbreak;n00059989
gaolbreak;n00059989
prisonbreak;n00059989
prison-breaking;n00059989
getaway;n00060201
lam;n00060201
exodus;n00060414
hegira;n00060414
hejira;n00060414
hegira;n00060548
hejira;n00060548
skedaddle;n00060747
underground railroad;n00060817
underground railway;n00060817
close call;n00061014
close shave;n00061014
squeak;n00061014
squeaker;n00061014
narrow escape;n00061014
surfacing;n00061171
dispatch;n00061290
despatch;n00061290
shipment;n00061290
reshipment;n00061453
consummation;n00061598
consummation;n00061792
realization;n00061917
realisation;n00061917
fruition;n00061917
orgasm;n00062133
climax;n00062133
sexual climax;n00062133
coming;n00062133
male orgasm;n00062331
fulfillment;n00062451
fulfilment;n00062451
self-fulfillment;n00062671
self-realization;n00062671
self-realisation;n00062671
attainment;n00062806
record;n00063014
track record;n00063310
world record;n00063559
success;n00063652
winning;n00064018
blockbuster;n00064151
megahit;n00064151
smash hit;n00064151
sleeper;n00064370
hit;n00064504
smash;n00064504
smasher;n00064504
strike;n00064504
bang;n00064504
bell ringer;n00064789
bull's eye;n00064789
mark;n00064789
home run;n00064789
ennoblement;n00065098
conquest;n00065216
coup;n00065336
flying colors;n00065418
flying colours;n00065418
passing;n00065575
pass;n00065575
qualifying;n00065575
credit;n00065855
course credit;n00065855
semester hour;n00066075
credit hour;n00066075
nonaccomplishment;n00066216
nonachievement;n00066216
failure;n00066397
failure;n00066636
failing;n00066901
flunk;n00066901
naught;n00067153
cut;n00067254
default;n00067397
loss;n00067526
capitulation;n00067707
fall;n00067707
surrender;n00067707
frustration;n00067990
thwarting;n00067990
foiling;n00067990
overturn;n00068170
upset;n00068170
backsliding;n00068333
lapse;n00068333
lapsing;n00068333
relapse;n00068333
relapsing;n00068333
reversion;n00068333
reverting;n00068333
recidivism;n00068617
disappointment;n00068755
dashing hopes;n00068755
breach;n00068901
copout;n00069060
breach of contract;n00069173
anticipatory breach;n00069444
constructive breach;n00069444
breach of duty;n00069604
breach of the covenant of warranty;n00069685
breach of promise;n00069815
breach of trust;n00069918
breach of trust with fraudulent intent;n00070077
breach of warranty;n00070215
leaning;n00070363
material breach;n00070462
motivation;n00070641
motivating;n00070641
partial breach;n00070807
mistake;n00070965
error;n00070965
fault;n00070965
double fault;n00071546
footfault;n00071700
bobble;n00071864
error;n00072068
misplay;n00072068
blot;n00072261
smear;n00072261
smirch;n00072261
spot;n00072261
stain;n00072261
confusion;n00072473
mix-up;n00072473
incursion;n00072691
miscalculation;n00072808
misreckoning;n00072808
misestimation;n00072808
backfire;n00073032
boomerang;n00073032
rounding;n00073177
rounding error;n00073177
truncation error;n00073525
distortion;n00073713
slip;n00073828
slip-up;n00073828
miscue;n00073828
parapraxis;n00073828
freudian slip;n00074092
offside;n00074324
oversight;n00074524
lapse;n00074524
omission;n00074624
